"","Origin","destination","Year","Value"
"Estonia.ITA.2009","Estonia","ITA",2009,"- -7"
"Finland.ITA.2009","Finland","ITA",2009,"83"
"France.ITA.2009","France","ITA",2009,"7 871"
"Germany.ITA.2009","Germany","ITA",2009,"3 285"
"Greece.ITA.2009","Greece","ITA",2009,"29"
"Hungary.ITA.2009","Hungary","ITA",2009,"-- 401"
"Ireland.ITA.2009","Ireland","ITA",2009,"--2 104"
"Latvia.ITA.2009","Latvia","ITA",2009,"0"
"Lithuania.ITA.2009","Lithuania","ITA",2009,"0"
"Luxembourg.ITA.2009","Luxembourg","ITA",2009,"1 772"
"Malta.ITA.2009","Malta","ITA",2009,"591"
"Netherlands.ITA.2009","Netherlands","ITA",2009,"5 049"
"Poland.ITA.2009","Poland","ITA",2009,"- -81"
"Portugal.ITA.2009","Portugal","ITA",2009,"861"
"Romania.ITA.2009","Romania","ITA",2009,"-- 674"
"Slovakia.ITA.2009","Slovakia","ITA",2009,"--1 606"
"Slovenia.ITA.2009","Slovenia","ITA",2009,"64"
"Spain.ITA.2009","Spain","ITA",2009,"-- 451"
"Sweden.ITA.2009","Sweden","ITA",2009,"--2 113"
"United Kingdom.ITA.2009","United Kingdom","ITA",2009,"3 509"
"Andorra.ITA.2009","Andorra","ITA",2009,"3"
"Gibraltar.ITA.2009","Gibraltar","ITA",2009,"3"
"Guernsey.ITA.2009","Guernsey","ITA",2009,"0"
"Iceland.ITA.2009","Iceland","ITA",2009,"- -1"
"Isle of Man.ITA.2009","Isle of Man","ITA",2009,"0"
"Jersey.ITA.2009","Jersey","ITA",2009,"17"
"Liechtenstein.ITA.2009","Liechtenstein","ITA",2009,"-- 115"
"Norway.ITA.2009","Norway","ITA",2009,"-- 122"
"Switzerland.ITA.2009","Switzerland","ITA",2009,"-- 540"
"Canada.ITA.2009","Canada","ITA",2009,"- -24"
"United States.ITA.2009","United States","ITA",2009,"370"
"Australia.ITA.2009","Australia","ITA",2009,"-- 290"
"Bermuda.ITA.2009","Bermuda","ITA",2009,"0"
"Israel.ITA.2009","Israel","ITA",2009,"1"
"Japan.ITA.2009","Japan","ITA",2009,"629"
"New Zealand.ITA.2009","New Zealand","ITA",2009,"3"
"Algeria.ITA.2009","Algeria","ITA",2009,"37"
"Egypt.ITA.2009","Egypt","ITA",2009,"21"
"Libya.ITA.2009","Libya","ITA",2009,"16"
"Morocco.ITA.2009","Morocco","ITA",2009,"6"
"Tunisia.ITA.2009","Tunisia","ITA",2009,"- -52"
"Angola.ITA.2009","Angola","ITA",2009,"66"
"Cameroon.ITA.2009","Cameroon","ITA",2009,"- -8"
"Cape Verde.ITA.2009","Cape Verde","ITA",2009,"- -4"
"Congo, Democratic Rep. of.ITA.2009","Congo, Democratic Rep. of","ITA",2009,"0"
"Côte d' Ivoire.ITA.2009","Côte d' Ivoire","ITA",2009,"- -44"
"Eritrea.ITA.2009","Eritrea","ITA",2009,"- -15"
"Ethiopia.ITA.2009","Ethiopia","ITA",2009,"5"
"Ghana.ITA.2009","Ghana","ITA",2009,"13"
"Kenya.ITA.2009","Kenya","ITA",2009,"2"
"Mauritius.ITA.2009","Mauritius","ITA",2009,"- -3"
"Nigeria.ITA.2009","Nigeria","ITA",2009,"17"
"Senegal.ITA.2009","Senegal","ITA",2009,"8"
"Seychelles.ITA.2009","Seychelles","ITA",2009,"0"
"South Africa.ITA.2009","South Africa","ITA",2009,"- -5"
"Swaziland.ITA.2009","Swaziland","ITA",2009,"- -4"
"Togo.ITA.2009","Togo","ITA",2009,"3"
"China.ITA.2009","China","ITA",2009,"251"
"Hong Kong, China.ITA.2009","Hong Kong, China","ITA",2009,"-- 397"
"Korea, Republic of.ITA.2009","Korea, Republic of","ITA",2009,"955"
"Taiwan Province of China.ITA.2009","Taiwan Province of China","ITA",2009,"- -1"
"Indonesia.ITA.2009","Indonesia","ITA",2009,"0"
"Malaysia.ITA.2009","Malaysia","ITA",2009,"5"
"Philippines.ITA.2009","Philippines","ITA",2009,"2"
"Singapore.ITA.2009","Singapore","ITA",2009,"15"
"Thailand.ITA.2009","Thailand","ITA",2009,"2"
"Viet Nam.ITA.2009","Viet Nam","ITA",2009,"0"
"Afghanistan.ITA.2009","Afghanistan","ITA",2009,"77"
"Bangladesh.ITA.2009","Bangladesh","ITA",2009,"1"
"India.ITA.2009","India","ITA",2009,"45"
"Iran, Islamic Republic of.ITA.2009","Iran, Islamic Republic of","ITA",2009,"- -2"
"Pakistan.ITA.2009","Pakistan","ITA",2009,"1"
"Sri Lanka.ITA.2009","Sri Lanka","ITA",2009,"- -30"
"Bahrain.ITA.2009","Bahrain","ITA",2009,"- -1"
"Jordan.ITA.2009","Jordan","ITA",2009,"0"
"Kuwait.ITA.2009","Kuwait","ITA",2009,"0"
"Lebanon.ITA.2009","Lebanon","ITA",2009,"3"
"Oman.ITA.2009","Oman","ITA",2009,"0"
"Qatar.ITA.2009","Qatar","ITA",2009,"- -8"
"Saudi Arabia.ITA.2009","Saudi Arabia","ITA",2009,"11"
"Syrian Arab Republic.ITA.2009","Syrian Arab Republic","ITA",2009,"0"
"Turkey.ITA.2009","Turkey","ITA",2009,"3"
"United Arab Emirates.ITA.2009","United Arab Emirates","ITA",2009,"25"
"Argentina.ITA.2009","Argentina","ITA",2009,"83"
"Bolivia, Plurinational State of.ITA.2009","Bolivia, Plurinational State of","ITA",2009,"3"
"Brazil.ITA.2009","Brazil","ITA",2009,"157"
"Chile.ITA.2009","Chile","ITA",2009,"5"
"Colombia.ITA.2009","Colombia","ITA",2009,"3"
"Ecuador.ITA.2009","Ecuador","ITA",2009,"6"
"Guyana.ITA.2009","Guyana","ITA",2009,"0"
"Peru.ITA.2009","Peru","ITA",2009,"4"
"Uruguay.ITA.2009","Uruguay","ITA",2009,"23"
"Venezuela, Bolivarian Rep. of.ITA.2009","Venezuela, Bolivarian Rep. of","ITA",2009,"30"
"Belize.ITA.2009","Belize","ITA",2009,"- -59"
"Costa Rica.ITA.2009","Costa Rica","ITA",2009,"4"
"Guatemala.ITA.2009","Guatemala","ITA",2009,"1"
"Mexico.ITA.2009","Mexico","ITA",2009,"-- 231"
"Nicaragua.ITA.2009","Nicaragua","ITA",2009,"1"
"Panama.ITA.2009","Panama","ITA",2009,"- -51"
"Antigua and Barbuda.ITA.2009","Antigua and Barbuda","ITA",2009,"5"
"Aruba.ITA.2009","Aruba","ITA",2009,"0"
"Bahamas.ITA.2009","Bahamas","ITA",2009,"11"
"Barbados.ITA.2009","Barbados","ITA",2009,"0"
"British Virgin Islands.ITA.2009","British Virgin Islands","ITA",2009,"0"
"Cayman Islands.ITA.2009","Cayman Islands","ITA",2009,"- -15"
"Dominican Republic.ITA.2009","Dominican Republic","ITA",2009,"10"
"Netherlands Antilles.ITA.2009","Netherlands Antilles","ITA",2009,"0"
"Saint Kitts and Nevis.ITA.2009","Saint Kitts and Nevis","ITA",2009,"55"
"Trinidad and Tobago.ITA.2009","Trinidad and Tobago","ITA",2009,"0"
"Turks and Caicos Islands.ITA.2009","Turks and Caicos Islands","ITA",2009,"- -1"
"Albania.ITA.2009","Albania","ITA",2009,"19"
"Bosnia and Herzegovina.ITA.2009","Bosnia and Herzegovina","ITA",2009,"1"
"Montenegro.ITA.2009","Montenegro","ITA",2009,"1"
"Serbia.ITA.2009","Serbia","ITA",2009,"- -2"
"The FYR of Macedonia.ITA.2009","The FYR of Macedonia","ITA",2009,"1"
"Yugoslavia (former).ITA.2009","Yugoslavia (former)","ITA",2009,"0"
"CIS.ITA.2009","CIS","ITA",2009,"-- 281"
"Moldova, Republic of.ITA.2009","Moldova, Republic of","ITA",2009,"-- 764"
"Russian Federation.ITA.2009","Russian Federation","ITA",2009,"476"
"Ukraine.ITA.2009","Ukraine","ITA",2009,"6"
"Georgia.ITA.2009","Georgia","ITA",2009,"0"
"Austria.ITA.2010","Austria","ITA",2010,"-- 492"
"Belgium.ITA.2010","Belgium","ITA",2010,"--1 288"
"Bulgaria.ITA.2010","Bulgaria","ITA",2010,"8"
"Croatia.ITA.2010","Croatia","ITA",2010,"35"
"Cyprus.ITA.2010","Cyprus","ITA",2010,"99"
"Czech Republic.ITA.2010","Czech Republic","ITA",2010,"137"
"Denmark.ITA.2010","Denmark","ITA",2010,"247"
"Estonia.ITA.2010","Estonia","ITA",2010,"- -1"
"Finland.ITA.2010","Finland","ITA",2010,"- -28"
"France.ITA.2010","France","ITA",2010,"4 346"
"Germany.ITA.2010","Germany","ITA",2010,"-- 151"
"Greece.ITA.2010","Greece","ITA",2010,"14"
"Hungary.ITA.2010","Hungary","ITA",2010,"--1 310"
"Ireland.ITA.2010","Ireland","ITA",2010,"218"
"Latvia.ITA.2010","Latvia","ITA",2010,"1"
"Lithuania.ITA.2010","Lithuania","ITA",2010,"2"
"Luxembourg.ITA.2010","Luxembourg","ITA",2010,"839"
"Malta.ITA.2010","Malta","ITA",2010,"- -88"
"Netherlands.ITA.2010","Netherlands","ITA",2010,"--10 532"
"Poland.ITA.2010","Poland","ITA",2010,"95"
"Portugal.ITA.2010","Portugal","ITA",2010,"308"
"Romania.ITA.2010","Romania","ITA",2010,"11"
"Slovakia.ITA.2010","Slovakia","ITA",2010,"623"
"Slovenia.ITA.2010","Slovenia","ITA",2010,"1 062"
"Spain.ITA.2010","Spain","ITA",2010,"964"
"Sweden.ITA.2010","Sweden","ITA",2010,"155"
"United Kingdom.ITA.2010","United Kingdom","ITA",2010,"4 062"
"Andorra.ITA.2010","Andorra","ITA",2010,"4"
"Gibraltar.ITA.2010","Gibraltar","ITA",2010,"1"
"Guernsey.ITA.2010","Guernsey","ITA",2010,"0"
"Iceland.ITA.2010","Iceland","ITA",2010,"30"
"Isle of Man.ITA.2010","Isle of Man","ITA",2010,"0"
"Jersey.ITA.2010","Jersey","ITA",2010,"- -26"
"Liechtenstein.ITA.2010","Liechtenstein","ITA",2010,"1"
"Norway.ITA.2010","Norway","ITA",2010,"295"
"Switzerland.ITA.2010","Switzerland","ITA",2010,"2 071"
"Canada.ITA.2010","Canada","ITA",2010,"- -14"
"United States.ITA.2010","United States","ITA",2010,"2 880"
"Australia.ITA.2010","Australia","ITA",2010,"-- 173"
"Bermuda.ITA.2010","Bermuda","ITA",2010,"9"
"Israel.ITA.2010","Israel","ITA",2010,"31"
"Japan.ITA.2010","Japan","ITA",2010,"- -66"
"New Zealand.ITA.2010","New Zealand","ITA",2010,"2"
"Algeria.ITA.2010","Algeria","ITA",2010,"43"
"Egypt.ITA.2010","Egypt","ITA",2010,"- -38"
"Libya.ITA.2010","Libya","ITA",2010,"62"
"Morocco.ITA.2010","Morocco","ITA",2010,"8"
"Tunisia.ITA.2010","Tunisia","ITA",2010,"29"
"Angola.ITA.2010","Angola","ITA",2010,"- -57"
"Cameroon.ITA.2010","Cameroon","ITA",2010,"0"
"Cape Verde.ITA.2010","Cape Verde","ITA",2010,"8"
"Congo, Democratic Rep. of.ITA.2010","Congo, Democratic Rep. of","ITA",2010,"2"
"Côte d' Ivoire.ITA.2010","Côte d' Ivoire","ITA",2010,"0"
"Eritrea.ITA.2010","Eritrea","ITA",2010,"14"
"Ethiopia.ITA.2010","Ethiopia","ITA",2010,"6"
"Ghana.ITA.2010","Ghana","ITA",2010,"- -18"
"Kenya.ITA.2010","Kenya","ITA",2010,"5"
"Mauritius.ITA.2010","Mauritius","ITA",2010,"1"
"Nigeria.ITA.2010","Nigeria","ITA",2010,"- -18"
"Senegal.ITA.2010","Senegal","ITA",2010,"- -5"
"Seychelles.ITA.2010","Seychelles","ITA",2010,"1"
"South Africa.ITA.2010","South Africa","ITA",2010,"42"
"Swaziland.ITA.2010","Swaziland","ITA",2010,"0"
"Togo.ITA.2010","Togo","ITA",2010,"- -2"
"China.ITA.2010","China","ITA",2010,"- -26"
"Hong Kong, China.ITA.2010","Hong Kong, China","ITA",2010,"46"
"Korea, Republic of.ITA.2010","Korea, Republic of","ITA",2010,"-- 956"
"Taiwan Province of China.ITA.2010","Taiwan Province of China","ITA",2010,"- -27"
"Indonesia.ITA.2010","Indonesia","ITA",2010,"3"
"Malaysia.ITA.2010","Malaysia","ITA",2010,"17"
"Philippines.ITA.2010","Philippines","ITA",2010,"2"
"Singapore.ITA.2010","Singapore","ITA",2010,"382"
"Thailand.ITA.2010","Thailand","ITA",2010,"12"
"Viet Nam.ITA.2010","Viet Nam","ITA",2010,"0"
"Afghanistan.ITA.2010","Afghanistan","ITA",2010,"64"
"Bangladesh.ITA.2010","Bangladesh","ITA",2010,"1"
"India.ITA.2010","India","ITA",2010,"120"
"Iran, Islamic Republic of.ITA.2010","Iran, Islamic Republic of","ITA",2010,"- -1"
"Pakistan.ITA.2010","Pakistan","ITA",2010,"1"
"Sri Lanka.ITA.2010","Sri Lanka","ITA",2010,"- -37"
"Bahrain.ITA.2010","Bahrain","ITA",2010,"1"
"Jordan.ITA.2010","Jordan","ITA",2010,"2"
"Kuwait.ITA.2010","Kuwait","ITA",2010,"0"
"Lebanon.ITA.2010","Lebanon","ITA",2010,"1"
"Oman.ITA.2010","Oman","ITA",2010,"2"
"Qatar.ITA.2010","Qatar","ITA",2010,"- -41"
"Saudi Arabia.ITA.2010","Saudi Arabia","ITA",2010,"6"
"Syrian Arab Republic.ITA.2010","Syrian Arab Republic","ITA",2010,"0"
"Turkey.ITA.2010","Turkey","ITA",2010,"12"
"United Arab Emirates.ITA.2010","United Arab Emirates","ITA",2010,"25"
"Argentina.ITA.2010","Argentina","ITA",2010,"37"
"Bolivia, Plurinational State of.ITA.2010","Bolivia, Plurinational State of","ITA",2010,"3"
"Brazil.ITA.2010","Brazil","ITA",2010,"131"
"Chile.ITA.2010","Chile","ITA",2010,"1"
"Colombia.ITA.2010","Colombia","ITA",2010,"4"
"Ecuador.ITA.2010","Ecuador","ITA",2010,"3"
"Guyana.ITA.2010","Guyana","ITA",2010,"0"
"Peru.ITA.2010","Peru","ITA",2010,"3"
"Uruguay.ITA.2010","Uruguay","ITA",2010,"31"
"Venezuela, Bolivarian Rep. of.ITA.2010","Venezuela, Bolivarian Rep. of","ITA",2010,"- -8"
"Belize.ITA.2010","Belize","ITA",2010,"0"
"Costa Rica.ITA.2010","Costa Rica","ITA",2010,"2"
"Guatemala.ITA.2010","Guatemala","ITA",2010,"0"
"Mexico.ITA.2010","Mexico","ITA",2010,"236"
"Nicaragua.ITA.2010","Nicaragua","ITA",2010,"0"
"Panama.ITA.2010","Panama","ITA",2010,"3"
"Antigua and Barbuda.ITA.2010","Antigua and Barbuda","ITA",2010,"0"
"Aruba.ITA.2010","Aruba","ITA",2010,"0"
"Bahamas.ITA.2010","Bahamas","ITA",2010,"- -12"
"Barbados.ITA.2010","Barbados","ITA",2010,"0"
"British Virgin Islands.ITA.2010","British Virgin Islands","ITA",2010,"0"
"Cayman Islands.ITA.2010","Cayman Islands","ITA",2010,"- -20"
"Dominican Republic.ITA.2010","Dominican Republic","ITA",2010,"5"
"Netherlands Antilles.ITA.2010","Netherlands Antilles","ITA",2010,"0"
"Saint Kitts and Nevis.ITA.2010","Saint Kitts and Nevis","ITA",2010,"- -17"
"Trinidad and Tobago.ITA.2010","Trinidad and Tobago","ITA",2010,"0"
"Turks and Caicos Islands.ITA.2010","Turks and Caicos Islands","ITA",2010,"- -3"
"Albania.ITA.2010","Albania","ITA",2010,"14"
"Bosnia and Herzegovina.ITA.2010","Bosnia and Herzegovina","ITA",2010,"1"
"Montenegro.ITA.2010","Montenegro","ITA",2010,"0"
"Serbia.ITA.2010","Serbia","ITA",2010,"7"
"The FYR of Macedonia.ITA.2010","The FYR of Macedonia","ITA",2010,"1"
"Yugoslavia (former).ITA.2010","Yugoslavia (former)","ITA",2010,"0"
"CIS.ITA.2010","CIS","ITA",2010,"319"
"Moldova, Republic of.ITA.2010","Moldova, Republic of","ITA",2010,"737"
"Russian Federation.ITA.2010","Russian Federation","ITA",2010,"-- 422"
"Ukraine.ITA.2010","Ukraine","ITA",2010,"3"
"Georgia.ITA.2010","Georgia","ITA",2010,"0"
"Austria.ITA.2011","Austria","ITA",2011,"-- 296"
"Belgium.ITA.2011","Belgium","ITA",2011,"3 510"
"Bulgaria.ITA.2011","Bulgaria","ITA",2011,"7"
"Croatia.ITA.2011","Croatia","ITA",2011,"43"
"Cyprus.ITA.2011","Cyprus","ITA",2011,"648"
"Czech Republic.ITA.2011","Czech Republic","ITA",2011,"169"
"Denmark.ITA.2011","Denmark","ITA",2011,"135"
"Estonia.ITA.2011","Estonia","ITA",2011,"65"
"Finland.ITA.2011","Finland","ITA",2011,"- -69"
"France.ITA.2011","France","ITA",2011,"18 807"
"Germany.ITA.2011","Germany","ITA",2011,"-- 138"
"Greece.ITA.2011","Greece","ITA",2011,"18"
"Hungary.ITA.2011","Hungary","ITA",2011,"-- 723"
"Ireland.ITA.2011","Ireland","ITA",2011,"918"
"Latvia.ITA.2011","Latvia","ITA",2011,"0"
"Lithuania.ITA.2011","Lithuania","ITA",2011,"0"
"Luxembourg.ITA.2011","Luxembourg","ITA",2011,"--1 902"
"Malta.ITA.2011","Malta","ITA",2011,"-- 421"
"Netherlands.ITA.2011","Netherlands","ITA",2011,"5 909"
"Poland.ITA.2011","Poland","ITA",2011,"239"
"Portugal.ITA.2011","Portugal","ITA",2011,"-- 482"
"Romania.ITA.2011","Romania","ITA",2011,"37"
"Slovakia.ITA.2011","Slovakia","ITA",2011,"26"
"Slovenia.ITA.2011","Slovenia","ITA",2011,"--1 153"
"Spain.ITA.2011","Spain","ITA",2011,"1 266"
"Sweden.ITA.2011","Sweden","ITA",2011,"--1 432"
"United Kingdom.ITA.2011","United Kingdom","ITA",2011,"5 990"
"Andorra.ITA.2011","Andorra","ITA",2011,"4"
"Gibraltar.ITA.2011","Gibraltar","ITA",2011,"2"
"Guernsey.ITA.2011","Guernsey","ITA",2011,"0"
"Iceland.ITA.2011","Iceland","ITA",2011,"14"
"Isle of Man.ITA.2011","Isle of Man","ITA",2011,"- -2"
"Jersey.ITA.2011","Jersey","ITA",2011,"1"
"Liechtenstein.ITA.2011","Liechtenstein","ITA",2011,"2"
"Norway.ITA.2011","Norway","ITA",2011,"-- 299"
"Switzerland.ITA.2011","Switzerland","ITA",2011,"4"
"Canada.ITA.2011","Canada","ITA",2011,"60"
"United States.ITA.2011","United States","ITA",2011,"1 249"
"Australia.ITA.2011","Australia","ITA",2011,"65"
"Bermuda.ITA.2011","Bermuda","ITA",2011,"47"
"Israel.ITA.2011","Israel","ITA",2011,"- -14"
"Japan.ITA.2011","Japan","ITA",2011,"877"
"New Zealand.ITA.2011","New Zealand","ITA",2011,"2"
"Algeria.ITA.2011","Algeria","ITA",2011,"206"
"Egypt.ITA.2011","Egypt","ITA",2011,"14"
"Libya.ITA.2011","Libya","ITA",2011,"16"
"Morocco.ITA.2011","Morocco","ITA",2011,"12"
"Tunisia.ITA.2011","Tunisia","ITA",2011,"28"
"Angola.ITA.2011","Angola","ITA",2011,"- -8"
"Cameroon.ITA.2011","Cameroon","ITA",2011,"0"
"Cape Verde.ITA.2011","Cape Verde","ITA",2011,"3"
"Congo, Democratic Rep. of.ITA.2011","Congo, Democratic Rep. of","ITA",2011,"4"
"Côte d' Ivoire.ITA.2011","Côte d' Ivoire","ITA",2011,"0"
"Eritrea.ITA.2011","Eritrea","ITA",2011,"0"
"Ethiopia.ITA.2011","Ethiopia","ITA",2011,"5"
"Ghana.ITA.2011","Ghana","ITA",2011,"1"
"Kenya.ITA.2011","Kenya","ITA",2011,"5"
"Mauritius.ITA.2011","Mauritius","ITA",2011,"1"
"Nigeria.ITA.2011","Nigeria","ITA",2011,"3"
"Senegal.ITA.2011","Senegal","ITA",2011,"1"
"Seychelles.ITA.2011","Seychelles","ITA",2011,"1"
"South Africa.ITA.2011","South Africa","ITA",2011,"72"
"Swaziland.ITA.2011","Swaziland","ITA",2011,"0"
"Togo.ITA.2011","Togo","ITA",2011,"0"
"China.ITA.2011","China","ITA",2011,"198"
"Hong Kong, China.ITA.2011","Hong Kong, China","ITA",2011,"41"
"Korea, Republic of.ITA.2011","Korea, Republic of","ITA",2011,"- -94"
"Taiwan Province of China.ITA.2011","Taiwan Province of China","ITA",2011,"34"
"Indonesia.ITA.2011","Indonesia","ITA",2011,"2"
"Malaysia.ITA.2011","Malaysia","ITA",2011,"- -6"
"Philippines.ITA.2011","Philippines","ITA",2011,"4"
"Singapore.ITA.2011","Singapore","ITA",2011,"56"
"Thailand.ITA.2011","Thailand","ITA",2011,"4"
"Viet Nam.ITA.2011","Viet Nam","ITA",2011,"0"
"Afghanistan.ITA.2011","Afghanistan","ITA",2011,"67"
"Bangladesh.ITA.2011","Bangladesh","ITA",2011,"1"
"India.ITA.2011","India","ITA",2011,"92"
"Iran, Islamic Republic of.ITA.2011","Iran, Islamic Republic of","ITA",2011,"- -1"
"Pakistan.ITA.2011","Pakistan","ITA",2011,"0"
"Sri Lanka.ITA.2011","Sri Lanka","ITA",2011,"154"
"Bahrain.ITA.2011","Bahrain","ITA",2011,"- -1"
"Jordan.ITA.2011","Jordan","ITA",2011,"2"
"Kuwait.ITA.2011","Kuwait","ITA",2011,"15"
"Lebanon.ITA.2011","Lebanon","ITA",2011,"1"
"Oman.ITA.2011","Oman","ITA",2011,"0"
"Qatar.ITA.2011","Qatar","ITA",2011,"- -71"
"Saudi Arabia.ITA.2011","Saudi Arabia","ITA",2011,"8"
"Syrian Arab Republic.ITA.2011","Syrian Arab Republic","ITA",2011,"0"
"Turkey.ITA.2011","Turkey","ITA",2011,"50"
"United Arab Emirates.ITA.2011","United Arab Emirates","ITA",2011,"38"
"Argentina.ITA.2011","Argentina","ITA",2011,"42"
"Bolivia, Plurinational State of.ITA.2011","Bolivia, Plurinational State of","ITA",2011,"3"
"Brazil.ITA.2011","Brazil","ITA",2011,"59"
"Chile.ITA.2011","Chile","ITA",2011,"1"
"Colombia.ITA.2011","Colombia","ITA",2011,"7"
"Ecuador.ITA.2011","Ecuador","ITA",2011,"3"
"Guyana.ITA.2011","Guyana","ITA",2011,"0"
"Peru.ITA.2011","Peru","ITA",2011,"3"
"Uruguay.ITA.2011","Uruguay","ITA",2011,"3"
"Venezuela, Bolivarian Rep. of.ITA.2011","Venezuela, Bolivarian Rep. of","ITA",2011,"- -8"
"Belize.ITA.2011","Belize","ITA",2011,"0"
"Costa Rica.ITA.2011","Costa Rica","ITA",2011,"2"
"Guatemala.ITA.2011","Guatemala","ITA",2011,"0"
"Mexico.ITA.2011","Mexico","ITA",2011,"- -4"
"Nicaragua.ITA.2011","Nicaragua","ITA",2011,"0"
"Panama.ITA.2011","Panama","ITA",2011,"6"
"Antigua and Barbuda.ITA.2011","Antigua and Barbuda","ITA",2011,"0"
"Aruba.ITA.2011","Aruba","ITA",2011,"0"
"Bahamas.ITA.2011","Bahamas","ITA",2011,"0"
"Barbados.ITA.2011","Barbados","ITA",2011,"0"
"British Virgin Islands.ITA.2011","British Virgin Islands","ITA",2011,"6"
"Cayman Islands.ITA.2011","Cayman Islands","ITA",2011,"- -44"
"Dominican Republic.ITA.2011","Dominican Republic","ITA",2011,"5"
"Netherlands Antilles.ITA.2011","Netherlands Antilles","ITA",2011,"0"
"Saint Kitts and Nevis.ITA.2011","Saint Kitts and Nevis","ITA",2011,"1"
"Trinidad and Tobago.ITA.2011","Trinidad and Tobago","ITA",2011,"0"
"Turks and Caicos Islands.ITA.2011","Turks and Caicos Islands","ITA",2011,"0"
"Albania.ITA.2011","Albania","ITA",2011,"86"
"Bosnia and Herzegovina.ITA.2011","Bosnia and Herzegovina","ITA",2011,"1"
"Montenegro.ITA.2011","Montenegro","ITA",2011,"0"
"Serbia.ITA.2011","Serbia","ITA",2011,"16"
"The FYR of Macedonia.ITA.2011","The FYR of Macedonia","ITA",2011,"2"
"Yugoslavia (former).ITA.2011","Yugoslavia (former)","ITA",2011,"0"
"CIS.ITA.2011","CIS","ITA",2011,"- -4"
"Moldova, Republic of.ITA.2011","Moldova, Republic of","ITA",2011,"4"
"Russian Federation.ITA.2011","Russian Federation","ITA",2011,"- -25"
"Ukraine.ITA.2011","Ukraine","ITA",2011,"16"
"Georgia.ITA.2011","Georgia","ITA",2011,"0"
"Austria.ITA.2012","Austria","ITA",2012,"3 141"
"Belgium.ITA.2012","Belgium","ITA",2012,"--1 322"
"Bulgaria.ITA.2012","Bulgaria","ITA",2012,"- -54"
"Croatia.ITA.2012","Croatia","ITA",2012,"37"
"Cyprus.ITA.2012","Cyprus","ITA",2012,"-- 188"
"Czech Republic.ITA.2012","Czech Republic","ITA",2012,"-- 146"
"Denmark.ITA.2012","Denmark","ITA",2012,"-- 449"
"Estonia.ITA.2012","Estonia","ITA",2012,"- -50"
"Finland.ITA.2012","Finland","ITA",2012,"-- 180"
"France.ITA.2012","France","ITA",2012,"--2 889"
"Germany.ITA.2012","Germany","ITA",2012,"--9 912"
"Greece.ITA.2012","Greece","ITA",2012,"- -88"
"Hungary.ITA.2012","Hungary","ITA",2012,"859"
"Ireland.ITA.2012","Ireland","ITA",2012,"- -36"
"Latvia.ITA.2012","Latvia","ITA",2012,"2"
"Lithuania.ITA.2012","Lithuania","ITA",2012,"1"
"Luxembourg.ITA.2012","Luxembourg","ITA",2012,"--9 727"
"Malta.ITA.2012","Malta","ITA",2012,"839"
"Netherlands.ITA.2012","Netherlands","ITA",2012,"7 782"
"Poland.ITA.2012","Poland","ITA",2012,"- -71"
"Portugal.ITA.2012","Portugal","ITA",2012,"- -37"
"Romania.ITA.2012","Romania","ITA",2012,"- -39"
"Slovakia.ITA.2012","Slovakia","ITA",2012,"- -13"
"Slovenia.ITA.2012","Slovenia","ITA",2012,"13"
"Spain.ITA.2012","Spain","ITA",2012,"- -61"
"Sweden.ITA.2012","Sweden","ITA",2012,"-- 835"
"United Kingdom.ITA.2012","United Kingdom","ITA",2012,"2 053"
"Andorra.ITA.2012","Andorra","ITA",2012,"3"
"Gibraltar.ITA.2012","Gibraltar","ITA",2012,"28"
"Guernsey.ITA.2012","Guernsey","ITA",2012,"3"
"Iceland.ITA.2012","Iceland","ITA",2012,"- -69"
"Isle of Man.ITA.2012","Isle of Man","ITA",2012,"- -1"
"Jersey.ITA.2012","Jersey","ITA",2012,"- -19"
"Liechtenstein.ITA.2012","Liechtenstein","ITA",2012,"- -14"
"Norway.ITA.2012","Norway","ITA",2012,"88"
"Switzerland.ITA.2012","Switzerland","ITA",2012,"5 256"
"Canada.ITA.2012","Canada","ITA",2012,"129"
"United States.ITA.2012","United States","ITA",2012,"3 352"
"Australia.ITA.2012","Australia","ITA",2012,"61"
"Bermuda.ITA.2012","Bermuda","ITA",2012,"- -66"
"Israel.ITA.2012","Israel","ITA",2012,"- -8"
"Japan.ITA.2012","Japan","ITA",2012,"240"
"New Zealand.ITA.2012","New Zealand","ITA",2012,"2"
"Algeria.ITA.2012","Algeria","ITA",2012,"-- 101"
"Egypt.ITA.2012","Egypt","ITA",2012,"3"
"Libya.ITA.2012","Libya","ITA",2012,"17"
"Morocco.ITA.2012","Morocco","ITA",2012,"5"
"Tunisia.ITA.2012","Tunisia","ITA",2012,"- -32"
"Angola.ITA.2012","Angola","ITA",2012,"- -1"
"Cameroon.ITA.2012","Cameroon","ITA",2012,"66"
"Cape Verde.ITA.2012","Cape Verde","ITA",2012,"1"
"Congo, Democratic Rep. of.ITA.2012","Congo, Democratic Rep. of","ITA",2012,"- -2"
"Côte d' Ivoire.ITA.2012","Côte d' Ivoire","ITA",2012,"1"
"Eritrea.ITA.2012","Eritrea","ITA",2012,"0"
"Ethiopia.ITA.2012","Ethiopia","ITA",2012,"4"
"Ghana.ITA.2012","Ghana","ITA",2012,"0"
"Kenya.ITA.2012","Kenya","ITA",2012,"3"
"Mauritius.ITA.2012","Mauritius","ITA",2012,"43"
