"","Origin","destination","Year","Value"
"Colombia.ANT.2005","Colombia","ANT",2005,"0"
"France.ANT.2005","France","ANT",2005,"15"
"Germany.ANT.2005","Germany","ANT",2005,"66"
"Israel.ANT.2005","Israel","ANT",2005,"5"
"Italy.ANT.2005","Italy","ANT",2005,"- -5"
"Japan.ANT.2005","Japan","ANT",2005,"102"
"Luxembourg.ANT.2005","Luxembourg","ANT",2005,"-- 109"
"Netherlands.ANT.2005","Netherlands","ANT",2005,"- -82"
"New Zealand.ANT.2005","New Zealand","ANT",2005,"123"
"Poland.ANT.2005","Poland","ANT",2005,"0"
"Portugal.ANT.2005","Portugal","ANT",2005,"0"
"Slovenia.ANT.2005","Slovenia","ANT",2005,"1"
"Spain.ANT.2005","Spain","ANT",2005,"0"
"Turkey.ANT.2005","Turkey","ANT",2005,"0"
"United States.ANT.2005","United States","ANT",2005,"477"
"Belgium.ANT.2006","Belgium","ANT",2006,"0"
"Brazil.ANT.2006","Brazil","ANT",2006,"72"
"Colombia.ANT.2006","Colombia","ANT",2006,"0"
"France.ANT.2006","France","ANT",2006,"29"
"Germany.ANT.2006","Germany","ANT",2006,"238"
"Israel.ANT.2006","Israel","ANT",2006,"14"
"Italy.ANT.2006","Italy","ANT",2006,"- -1"
"Japan.ANT.2006","Japan","ANT",2006,"0"
"Luxembourg.ANT.2006","Luxembourg","ANT",2006,"70"
"Netherlands.ANT.2006","Netherlands","ANT",2006,"882"
"New Zealand.ANT.2006","New Zealand","ANT",2006,"-- 999"
"Poland.ANT.2006","Poland","ANT",2006,"0"
"Portugal.ANT.2006","Portugal","ANT",2006,"0"
"Slovenia.ANT.2006","Slovenia","ANT",2006,"0"
"Spain.ANT.2006","Spain","ANT",2006,"112"
"Turkey.ANT.2006","Turkey","ANT",2006,"0"
"United States.ANT.2006","United States","ANT",2006,"3 488"
"Belgium.ANT.2007","Belgium","ANT",2007,"0"
"Brazil.ANT.2007","Brazil","ANT",2007,"403"
"Colombia.ANT.2007","Colombia","ANT",2007,"56"
"France.ANT.2007","France","ANT",2007,"38"
"Germany.ANT.2007","Germany","ANT",2007,"26"
"Israel.ANT.2007","Israel","ANT",2007,"18"
"Italy.ANT.2007","Italy","ANT",2007,"- -1"
"Japan.ANT.2007","Japan","ANT",2007,"0"
"Luxembourg.ANT.2007","Luxembourg","ANT",2007,"41 638"
"Netherlands.ANT.2007","Netherlands","ANT",2007,"679"
"New Zealand.ANT.2007","New Zealand","ANT",2007,"-- 165"
"Poland.ANT.2007","Poland","ANT",2007,"0"
"Portugal.ANT.2007","Portugal","ANT",2007,"0"
"Slovenia.ANT.2007","Slovenia","ANT",2007,"0"
"Spain.ANT.2007","Spain","ANT",2007,"0"
"Turkey.ANT.2007","Turkey","ANT",2007,"1"
"United States.ANT.2007","United States","ANT",2007,"2 584"
"Belgium.ANT.2008","Belgium","ANT",2008,"0"
"Brazil.ANT.2008","Brazil","ANT",2008,"492"
"Colombia.ANT.2008","Colombia","ANT",2008,"0"
"France.ANT.2008","France","ANT",2008,"21"
"Germany.ANT.2008","Germany","ANT",2008,"- -92"
"Israel.ANT.2008","Israel","ANT",2008,"- -21"
"Italy.ANT.2008","Italy","ANT",2008,"80"
