"","Jurisdiction","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"204","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,2.2,2.2,2.5,2.38,33,30,28,28
"205","Togo",NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.3,2.7,2.8,2.4,2.38,30,29,29,32
"206","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2.4,3,3,3.14,NA,NA,NA,NA
"207","Trinidad and Tobago",NA,NA,NA,NA,NA,4.6,4.2,3.8,3.2,3.4,3.6,3.6,3.6,3.17,39,38,38,39
"208","Trinidad & Tobago",NA,NA,NA,5.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Tunisia",5,5,5.2,5.3,4.8,4.9,5,4.9,4.6,4.2,4.4,4.2,4.3,3.76,41,41,40,38
"210","Turkey",3.4,3.6,3.8,3.6,3.2,3.1,3.2,3.5,3.8,4.1,4.6,4.4,4.4,4.21,49,50,45,42
"211","Turkmenistan",NA,NA,NA,NA,NA,NA,2,1.8,2.2,2,1.8,1.8,1.6,1.6,17,17,17,18
"212","Uganda",2.6,2.2,2.3,1.9,2.1,2.2,2.6,2.5,2.7,2.8,2.6,2.5,2.5,2.43,29,26,26,25
"213","Ukraine",2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,26,25,26,27
"214","United Arab Emirates",NA,NA,NA,NA,NA,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,68,69,70,70
"215","United Kingdom",8.7,8.6,8.7,8.3,8.7,8.7,8.6,8.6,8.6,8.4,7.7,7.7,7.6,7.78,74,76,78,81
"216","United States",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.1,7.14,73,73,74,NA
"217","Uruguay",4.3,4.4,NA,5.1,5.1,5.5,6.2,5.9,6.4,6.7,6.9,6.7,6.9,7.04,72,73,73,74
"218","USA",NA,7.5,7.8,7.6,7.7,7.5,7.5,7.6,7.3,7.2,7.3,NA,NA,NA,NA,NA,NA,NA
"219","Uzbekistan",NA,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,17,17,18,19
"220","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,2.9,3.2,3.6,3.53,NA,NA,NA,NA
"221","Venezuela",2.3,2.6,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2,1.9,1.9,2,1.89,19,20,19,17
"222","Vietnam",2.5,2.6,2.5,2.6,2.4,2.4,2.6,2.6,NA,NA,NA,2.7,2.7,2.86,31,31,31,31
"223","Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,2.7,NA,NA,NA,NA,NA,NA,NA
"224","Yemen",NA,NA,NA,NA,NA,2.6,2.4,2.7,2.6,2.5,2.3,2.1,2.2,2.08,23,18,19,18
"225","Yugoslavia",3,2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Zambia",3.5,3.5,3.4,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.8,3,3,3.2,37,38,38,38
"227","Zimbabwe",4.2,4.1,3,2.9,2.7,2.3,2.3,2.6,2.4,2.1,1.8,2.2,2.4,2.23,20,21,21,21
