"","Jurisdiction","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"20","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,3.1,2.9,NA,3.3,3.2,3,3.2,3.21,42,42,39,38
"21","Bosnia and Herzgegovina",NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bosnia & Herzegovina",NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Botswana",6.1,6.1,6,6,6.4,5.7,6,5.9,5.6,5.4,5.8,5.6,5.8,6.08,65,64,63,63
"24","Brazil",4,4.1,3.9,4,4,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77,43,42,43,38
"25","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.21,55,60,NA,NA
"26","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA
"27","Bulgaria",2.9,3.3,3.5,3.9,4,3.9,4.1,4,4,4.1,3.6,3.8,3.6,3.33,41,41,43,41
"28","Burkina Faso",NA,NA,3,NA,NA,NA,NA,3.4,3.2,2.9,3.5,3.6,3.1,3.05,38,38,38,38
"29","Burundi",NA,NA,NA,NA,NA,NA,NA,2.3,2.4,2.5,1.9,1.8,1.8,1.94,19,21,20,21
"30","Cambodia",NA,NA,NA,NA,NA,NA,NA,2.3,2.1,2,1.8,2,2.1,2.11,22,20,21,21
"31","Cameroon",1.4,1.5,2,2,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45,26,25,27,27
"32","Canada",9.2,9.2,9.2,8.9,9,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67,84,81,81,83
"33","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.1,5.1,5.1,5.52,60,58,57,55
"34","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,2,2,2.1,2.21,26,25,24,24
"35","Chad",NA,NA,NA,NA,NA,NA,1.7,1.7,2,1.8,1.6,1.6,1.7,2.04,19,19,22,22
"36","Chile",6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7,6.9,6.7,7.2,7.21,72,71,73,70
"37","China",3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64,39,40,36,37
"38","Colombia",2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45,36,36,37,37
"39","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.5,2.3,2.1,2.41,28,28,26,26
"40","Congo Brazzaville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
"41","Congo-Brazzaville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA
"42","Congo Democratic Republic",NA,NA,NA,NA,NA,NA,NA,2.1,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA
"43","Congo. Democratic Republic",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
"44","Congo Republic",NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.1,NA,NA,NA,NA,26,22,23,23
"45","Congo  Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA
"46","Congo. Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA
"47","Congo Republic of",NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Congo. Republic of",NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Congo Republic of the",NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Costa Rica",5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8,54,53,54,55
"51","Cote d´Ivoire",NA,NA,NA,2.4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Cote d'Ivoire",NA,NA,NA,NA,2.7,2.1,NA,1.9,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA
"53","Côte d´Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,2,2.1,2.2,2.23,29,27,32,32
"54","Côte-d'Ivoire",NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Croatia",NA,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,46,48,48,51
"56","Cuba",NA,NA,NA,NA,NA,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,48,46,46,47
"57","Cyprus",NA,NA,NA,NA,NA,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,66,63,63,61
"58","Czech Republic",4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,NA,5.2,4.9,4.6,4.37,49,48,51,56
"59","Czech Republik",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA
"60","Democratic Republic of Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2,NA,NA,NA,NA,NA
"61","Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22,22,22
"62","Democratic Republic of the Congo ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA,NA,NA,NA
"63","Denmark",10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,90,91,92,91
"64","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,2.8,3.2,2.98,36,36,34,34
"65","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.6,6,5.9,5.2,5.17,58,58,58,NA
"66","Dominican Rep",NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Dominican Rep.",NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Dominican Republic",NA,NA,NA,NA,NA,3.3,2.9,3,2.8,3,3,3,3,2.59,32,29,32,33
"69","Ecuador",2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2,2.2,2.5,2.65,32,35,33,32
"70","Egypt",2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37,36
"71","El Salvador",3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4,4,3.9,3.4,3.6,3.42,38,38,39,39
"72","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20,19,NA,NA
"73","Eritrea",NA,NA,NA,NA,NA,NA,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18,18
"74","Estonia",5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70
"75","Ethiopia",NA,NA,3.2,NA,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33,33,33,33
"76","Fiji",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Finland",9.6,9.8,10,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9,8.9,9.2,9.4,90,89,89,90
"78","France",6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71,71,69,70
"79","FYR Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,3.8,4.1,3.94,NA,NA,NA,NA
"80","Gabon",NA,NA,NA,NA,NA,NA,3.3,2.9,3,3.3,3.1,2.9,2.8,2.98,35,34,37,34
"81","Gambia",NA,NA,NA,NA,NA,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34,28,29,28
"82","Georgia",NA,2.3,NA,NA,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52
"83","Germany",7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79,81
"84","Ghana",3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45,46,48,47
"85","Greece",4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36,40,43,46
"86","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA
"87","Guatemala",3.1,3.2,NA,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33,29,32,28
"88","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,1.6,1.8,2,2.11,24,24,25,25
"89","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.9,1.9,2.1,2.2,25,19,19,17
"90","Guyana",NA,NA,NA,NA,NA,NA,NA,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28,27,30,29
"91","Haiti",NA,NA,NA,NA,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19,19,19,17
"92","Honduras",1.7,1.8,NA,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28,26,29,31
"93","Hong Kong",7.8,7.7,7.7,7.9,8.2,8,8,8.3,8.3,8.3,8.1,8.2,8.4,8.39,77,75,74,75
"94","Hungary",5,5.2,5.2,5.3,4.9,4.8,4.8,5,5.2,5.3,5.1,5.1,4.7,4.56,55,54,54,51
"95","Iceland",9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82,78,79,79
"96","India",2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36,36,38,38
"97","Indonesia",2,1.7,1.7,1.9,1.9,1.9,2,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32,32,34,36
"98","Iran",NA,NA,NA,NA,NA,3,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28,25,27,27
"99","Iraq",NA,NA,NA,NA,NA,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18,16,16,16
"100","Ireland",8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8,8,7.54,69,72,74,75
"101","Israel",7.1,6.8,6.6,7.6,7.3,7,6.4,6.3,5.9,6.1,6,6.1,6.1,5.81,60,61,60,61
"102","Italy",4.6,4.7,4.6,5.5,5.2,5.3,4.8,5,4.9,5.2,4.8,4.3,3.9,3.91,42,43,43,44
"103","Ivory Coast",3.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Jamaica",3.8,3.8,NA,NA,4,3.8,3.3,3.6,3.7,3.3,3.1,3,3.3,3.34,38,38,38,41
"105","Japan",5.8,6,6.4,7.1,7.1,7,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74,74,76,75
"106","Jordan",4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5,4.7,4.49,48,45,49,53
"107","Kazakhstan",NA,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28
"108","Kenya",2.5,2,2.1,2,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27,27,25,25
"109","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.1,2.8,3.2,3.08,NA,NA,NA,NA
"110","Korea (North)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,8,8,8,8
"111","Korea (South)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.4,5.36,56,55,55,56
"112","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.85,34,33,33,33
"113","Kuwait",NA,NA,NA,NA,NA,5.3,4.6,4.7,4.8,NA,4.3,4.1,4.5,4.62,44,43,44,49
"114","Kuweit",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA
"115","Kyrgyz Republic",NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Kyrgyzstan",NA,NA,NA,NA,NA,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2,2.12,24,24,27,28
"117","Laos",NA,NA,NA,NA,NA,NA,NA,3.3,2.6,1.9,2,2,2.1,2.21,21,26,25,25
"118","Latvia",2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55
"119","Lebanon",NA,NA,NA,NA,NA,3,2.7,3.1,3.6,3,3,2.5,2.5,2.49,30,28,27,28
"120","Lesotho",NA,NA,NA,NA,NA,NA,NA,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45,49,49,44
"121","Liberia",NA,NA,NA,NA,NA,NA,NA,2.2,NA,2.1,2.4,3.1,3.3,3.19,41,38,37,37
"122","Libya",NA,NA,NA,NA,NA,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21,15,18,16
"123","Lithuania",NA,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61
