"","Destination","Dest.Code","Origin","Origin.Code","Year","Value"
"6562","Bulgaria","BGR","Moldova, Republic of","MDA",2008,2
"6580","Bulgaria","BGR","Korea, Republic of","KOR",2008,7
"6582","Bulgaria","BGR","Aruba","ABW",2008,0
"6589","Bulgaria","BGR","The FYR of Macedonia","MKD",2008,-10
"6603","Bulgaria","BGR","Ireland","IRL",2008,-59
"6607","Bulgaria","BGR","Guam","GUM",2008,0
"6608","Bulgaria","BGR","Oman","OMN",2008,1
"6653","Bulgaria","BGR","Estonia","EST",2008,14
"6668","Bulgaria","BGR","CIS",NA,2008,474
"6703","Bulgaria","BGR","Liberia","LBR",2008,0
"6708","Bulgaria","BGR","Serbia and Montenegro","SRB",2008,0
"6713","Bulgaria","BGR","United States","USA",2008,73
"6720","Bulgaria","BGR","Egypt","EGY",2008,0
"6723","Bulgaria","BGR","New Zealand","NZL",2008,0
"6738","Bulgaria","BGR","Lithuania","LTU",2008,347
"6766","Bulgaria","BGR","Belize","BLZ",2008,27
"6774","Bulgaria","BGR","Netherlands Antilles","ANT",2008,5
"6794","Bulgaria","BGR","French Polynesia","PYF",2008,-1
"6820","Bulgaria","BGR","Saudi Arabia","SAU",2008,5
"6864","Bulgaria","BGR","Luxembourg","LUX",2008,524
"6868","Bulgaria","BGR","Bosnia and Herzegovina","BIH",2008,1
"6880","Bulgaria","BGR","Finland","FIN",2008,15
"6889","Bulgaria","BGR","Anguilla","AIA",2008,7
"6908","Bulgaria","BGR","Mexico","MEX",2008,0
"6938","Bulgaria","BGR","Andorra","AND",2008,2
"6940","Bulgaria","BGR","Romania","ROU",2008,48
"6980","Bulgaria","BGR","Switzerland","CHE",2008,230
"6993","Bulgaria","BGR","Turkey","TUR",2008,31
"6995","Bulgaria","BGR","Indonesia","IDN",2008,0
"7001","Bulgaria","BGR","Australia","AUS",2008,6
"7007","Bulgaria","BGR","Sweden","SWE",2008,46
"7009","Bulgaria","BGR","Panama","PAN",2008,79
"7013","Bulgaria","BGR","Hong Kong, China","HKG",2008,6
"7023","Bulgaria","BGR","Brazil","BRA",2008,1
"7029","Bulgaria","BGR","Israel","ISR",2008,121
"7040","Bulgaria","BGR","Turks and Caicos Islands","TCA",2008,6
"7054","Bulgaria","BGR","Costa Rica","CRI",2008,0
"7076","Bulgaria","BGR","France","FRA",2008,310
"7091","Bulgaria","BGR","Singapore","SGP",2008,3
"7113","Bulgaria","BGR","Greece","GRC",2008,931
"7119","Bulgaria","BGR","Thailand","THA",2008,0
"7125","Bulgaria","BGR","Malaysia","MYS",2008,0
"7129","Bulgaria","BGR","Norway","NOR",2008,38
"7133","Bulgaria","BGR","Seychelles","SYC",2008,17
"7143","Bulgaria","BGR","Dominican Republic","DOM",2008,0
"7145","Bulgaria","BGR","Namibia","NAM",2008,-3
"7149","Bulgaria","BGR","Albania","ALB",2008,20
"7158","Bulgaria","BGR","Antigua and Barbuda","ATG",2008,2
"7162","Bulgaria","BGR","Iceland","ISL",2008,-2
"7164","Bulgaria","BGR","Kuwait","KWT",2008,-5
"7169","Bulgaria","BGR","British Virgin Islands","VGB",2008,114
"7172","Bulgaria","BGR","Viet Nam","VNM",2008,0
"7181","Bulgaria","BGR","Armenia","ARM",2008,7
"7199","Bulgaria","BGR","Spain","ESP",2008,253
"7211","Bulgaria","BGR","Latvia","LVA",2008,51
"7233","Bulgaria","BGR","Kazakhstan","KAZ",2008,12
"7242","Bulgaria","BGR","Monaco","MCO",2008,5
"7273","Bulgaria","BGR","Belgium","BEL",2008,105
"7275","Bulgaria","BGR","Marshall Islands","MHL",2008,7
"7321","Bulgaria","BGR","Morocco","MAR",2008,0
"7322","Bulgaria","BGR","Trinidad and Tobago","TTO",2008,0
"7331","Bulgaria","BGR","Denmark","DNK",2008,93
"7380","Bulgaria","BGR","Hungary","HUN",2008,307
"7399","Bulgaria","BGR","Colombia","COL",2008,0
"7415","Bulgaria","BGR","US Virgin Islands","VIR",2008,-1
"7428","Bulgaria","BGR","New Caledonia","NCL",2008,0
"7443","Bulgaria","BGR","Niger","NER",2008,0
"7444","Bulgaria","BGR","Samoa","WSM",2008,7
"7451","Bulgaria","BGR","Jordan","JOR",2008,2
"7462","Bulgaria","BGR","Argentina","ARG",2008,0
"7469","Bulgaria","BGR","Japan","JPN",2008,-75
"7484","Bulgaria","BGR","Saint Kitts and Nevis","KNA",2008,1
"7488","Bulgaria","BGR","Liechtenstein","LIE",2008,13
