Year,CountryName,ccode,Population,TradeOpenness,GDPgrowth
2001,Lebanon,LBN,3359875,55.55680836,3.953516126
2001,Lesotho,LSO,1871489,190.3980358,4.22920334
2001,Liberia,LBR,2998770,65.39119002,2.918717298
2001,Libya,LBY,5428303,43.17344961,-1.762878168
2001,Liechtenstein,LIE,33663,..,-0.733091477
2001,Lithuania,LTU,3470818,93.55018063,6.524430875
2001,Luxembourg,LUX,441525,274.5363581,2.152855377
2001,"Macao SAR, China",MAC,438088,151.1032892,15.47340027
2001,"Macedonia, FYR",MKD,2021585,71.47781436,-3.067245662
2001,Madagascar,MDG,16235767,61.37074193,6.017824403
2001,Malawi,MWI,11491824,67.11840369,-4.974963841
2001,Malaysia,MYS,23920963,203.364636,0.517675303
2001,Maldives,MDV,292000,104.0811656,..
2001,Mali,MLI,11376094,60.20080302,14.66122069
2001,Malta,MLT,393028,163.0670335,-1.549888586
2001,Marshall Islands,MHL,52184,..,5.363380056
2001,Mauritania,MRT,2796502,76.02748881,2.008796925
2001,Mauritius,MUS,1196287,130.9905415,2.573570288
2001,Mexico,MEX,104239563,48.52804694,-0.60549239
2001,"Micronesia, Fed. Sts.",FSM,107170,..,1.747193334
2001,Moldova,MDA,3631462,123.3884783,6.100000042
2001,Monaco,MCO,32364,..,2.187729373
2001,Mongolia,MNG,2419729,115.8183269,2.952710544
2001,Montenegro,MNE,607389,100.4101614,1.100001032
2001,Morocco,MAR,29250983,59.41802239,7.319967454
2001,Mozambique,MOZ,18792357,55.41755386,12.72096582
2001,Myanmar,MMR,48195684,0.978674765,11.3440345
2001,Namibia,NAM,1931005,88.84758896,1.177948858
2001,Nauru,NRU,10053,..,..
2001,Nepal,NPL,24140941,55.83717421,4.799762644
2001,Netherlands,NLD,16046180,120.9865407,2.124264345
2001,New Caledonia,NCL,217324,..,..
2001,New Zealand,NZL,3880500,67.23382435,3.435868391
2001,Nicaragua,NIC,5100750,57.98013155,2.960843529
2001,Niger,NER,11642308,41.5342216,7.104340612
2001,Nigeria,NGA,126014935,81.81284909,4.411065196
2001,Northern Mariana Islands,MNP,68817,..,..
2001,Norway,NOR,4513751,73.26639332,2.085328034
2001,Oman,OMN,2272547,81.03699544,4.482454096
2001,Pakistan,PAK,141282077,30.37153377,1.982484032
2001,Palau,PLW,19404,123.640125,4.317386231
2001,Panama,PAN,3086887,130.0987718,0.574272976
2001,Papua New Guinea,PNG,5512835,117.5803671,-0.121288758
2001,Paraguay,PRY,5406625,80.73887933,-0.834057908
2001,Peru,PER,26261363,34.80052543,0.617831087
2001,Philippines,PHL,79604541,98.90894108,2.893992411
2001,Poland,POL,38248076,58.07425147,1.2053016
2001,Portugal,PRT,10362722,65.0640678,1.943304636
2001,Puerto Rico,PRI,3818774,137.3128668,9.849452032
2001,Qatar,QAT,613720,94.96867168,3.898186603
2001,Romania,ROM,22131970,73.49696435,5.592002343
2001,Russian Federation,RUS,145976083,61.11073841,5.091984231
2001,Rwanda,RWA,8329113,32.75497962,8.668954202
2001,Samoa,WSM,175567,101.3367401,6.93976583
2001,San Marino,SMR,27771,..,5.607476636
2001,Sao Tome and Principe,STP,140003,..,3.189933317
2001,Saudi Arabia,SAU,22007937,63.95141455,0.547644944
2001,Senegal,SEN,10118078,66.49058544,4.580916419
2001,Serbia,SRB,7503433,60.18719069,4.992714031
2001,Seychelles,SYC,81202,187.3914456,-2.271162762
2001,Sierra Leone,SLE,4220198,35.78502112,-7.140319715
2001,Singapore,SGP,4138012,352.7492263,-0.952290066
2001,Sint Maarten (Dutch part),SXM,31189,..,..
2001,Slovak Republic,SVK,5378867,123.6156401,3.316465879
2001,Slovenia,SVN,1992060,104.53866,2.949355156
2001,Solomon Islands,SLB,423535,52.40233926,-7.978564432
2001,Somalia,SOM,7610053,..,..
2001,South Africa,ZAF,44909738,54.80171918,2.700000003
2001,South Sudan,SSD,6967817,..,..
2001,Spain,ESP,40756001,58.07415858,4.001069225
2001,Sri Lanka,LKA,18797000,80.89860153,-1.545408134
2001,St. Kitts and Nevis,KNA,46216,85.8046362,4.978155937
2001,St. Lucia,LCA,158650,98.40156299,-3.228761803
2001,St. Martin (French part),MAF,27782,..,..
2001,St. Vincent and the Grenadines,VCT,107989,89.62000984,1.709414612
2001,Sudan,SDN,28805142,24.19332776,6.500360421
2001,Suriname,SUR,484210,77.99854466,4.553077415
2001,Swaziland,SWZ,1074765,183.9187025,1.157877797
2001,Sweden,SWE,8895960,81.27620423,1.563410279
2001,Switzerland,CHE,7229854,96.16503363,1.446594802
2001,Syrian Arab Republic,SYR,16694414,64.61333189,5.20094281
2001,Tajikistan,TJK,6290413,146.3539604,10.2
2001,Tanzania,TZA,34899062,38.29025368,5.997828858
2001,Thailand,THA,63415174,120.2676963,3.444243766
2001,Timor-Leste,TMP,865848,197.3451327,16.36690647
2001,Togo,TGO,5006223,82.28545797,-1.626806272
2001,Tonga,TON,98434,62.36254776,3.601788655
2001,Trinidad and Tobago,TTO,1272383,100.4504364,4.168524081
2001,Tunisia,TUN,9650600,89.55191911,3.796183827
2001,Turkey,TUR,64182694,50.75623119,-5.697476493
2001,Turkmenistan,TKM,4551762,158.2563195,4.343845714
2001,Turks and Caicos Islands,TCA,20186,..,..
2001,Tuvalu,TUV,9471,..,1.634107644
2001,Uganda,UGA,24534668,35.32997678,5.183661126
2001,Ukraine,UKR,48683865,109.2947745,9.200000012
2001,United Arab Emirates,ARE,3217865,89.86457993,1.399085028
2001,United Kingdom,GBR,59119673,54.54832576,2.75803547
2001,United States,USA,284968955,22.80313626,0.975981834
2001,Uruguay,URY,3327105,36.30951264,-3.844129967
2001,Uzbekistan,UZB,24964450,55.72146464,4.200000008
2001,Vanuatu,VUT,189288,87.77214514,-3.488507759
2001,"Venezuela, RB",VEN,24940223,42.14126802,3.394236108
2001,Vietnam,VNM,78620500,103.6883589,6.192893312
2001,Virgin Islands (U.S.),VIR,108386,..,..
2001,West Bank and Gaza,WBG,2997784,82.72597847,-6.45470159
2001,"Yemen, Rep.",YEM,18306287,70.89239798,3.803645877
2001,Zambia,ZMB,10861238,64.66828271,5.316868319
2001,Zimbabwe,ZWE,12603988,67.89787217,1.439615074
2002,Afghanistan,AFG,21487079,97.67442275,..
2002,Albania,ALB,3051010,63.93424074,4.231371012
2002,Algeria,DZA,31990387,61.13416739,5.6
2002,American Samoa,ASM,58729,..,..
2002,Andorra,ADO,71046,..,6.426845139
2002,Angola,AGO,16109696,128.7953207,-6.940461553
2002,Antigua and Barbuda,ATG,80030,112.4326412,2.92425143
2002,Argentina,ARG,37889443,41.7527513,-10.89448481
2002,Armenia,ARM,3047249,75.9434196,13.18630053
2002,Aruba,ABW,94995,134.3349949,0.465289865
2002,Australia,AUS,19651400,41.32677983,3.856686721
2002,Austria,AUT,8081957,86.95994943,1.655854943
2002,Azerbaijan,AZE,8171950,92.81745799,10.5999992
2002,"Bahamas, The",BHS,309170,80.57822971,2.704629513
2002,Bahrain,BHR,725365,130.6075232,3.614148289
2002,Bangladesh,BGD,136228456,28.96738072,3.83312394
2002,Barbados,BRB,271479,81.8110112,0.822199383
2002,Belarus,BLR,9865000,131.0020583,5.045267318
2002,Belgium,BEL,10332785,135.1247887,1.780452149
2002,Belize,BLZ,262202,118.6904514,5.118559443
2002,Benin,BEN,7414744,51.48426491,4.644470026
2002,Bermuda,BMU,62912,..,-1.477790375
2002,Bhutan,BTN,598421,69.55953624,10.72784061
2002,Bolivia,BOL,8653343,49.35026047,2.485565738
2002,Bosnia and Herzegovina,BIH,3808347,95.27676951,5.300000267
2002,Botswana,BWA,1786672,91.83577406,6.069530868
2002,Brazil,BRA,181045592,27.61837145,3.05316092
2002,British Virgin Islands,VGB,21530,..,..
2002,Brunei Darussalam,BRN,343383,108.7479691,3.872097249
2002,Bulgaria,BGR,7868468,75.46514112,6.018122132
2002,Burkina Faso,BFA,12290984,30.87290647,4.353004323
2002,Burundi,BDI,7159918,21.67382941,4.446519419
2002,Cabo Verde,CPV,455396,101.0897023,5.250891246
2002,Cambodia,KHM,12681984,119.6929457,6.687880848
2002,Cameroon,CMR,16779434,40.65013021,4.009044571
2002,Canada,CAN,31362000,75.73269035,3.010016308
2002,Cayman Islands,CYM,44742,..,..
2002,Central African Republic,CAF,3859784,36.10856478,3.616488016
2002,Chad,TCD,9002102,126.3508078,8.491209819
2002,Channel Islands,CHI,150905,..,-1.632206598
2002,Chile,CHL,15544554,61.93707133,2.166908634
2002,China,CHN,1280400000,42.46062049,9.090909091
2002,Colombia,COL,41572493,32.98263921,2.503980465
2002,Comoros,COM,575428,43.75112421,2.324779259
2002,"Congo, Dem. Rep.",ZAR,50971407,29.31684564,2.947765184
2002,"Congo, Rep.",COG,3256867,135.4560711,4.581870061
2002,Costa Rica,CRI,4063208,90.0196377,2.902185091
2002,Cote d'Ivoire,CIV,17185421,79.8636641,-1.667642138
2002,Croatia,HRV,4440000,83.21899405,5.246474529
2002,Cuba,CUB,11184540,24.72938697,1.42859081
2002,Curacao,CUW,129205,..,..
2002,Cyprus,CYP,979883,124.4528835,3.220606243
2002,Czech Republic,CZE,10196916,91.76586404,1.64694964
2002,Denmark,DNK,5375931,84.29067888,0.466298252
2002,Djibouti,DJI,745459,82.32084588,2.61856229
2002,Dominica,DMA,69806,82.737836,-1.753160254
2002,Dominican Republic,DOM,8832286,72.81372007,5.788207316
2002,Ecuador,ECU,13072056,49.37654964,4.096776659
